,Bioactivity_ratio,Exposure_category,IARC_category,LogKow,Water_solubility,Half_lives,Koc,DF,Peak_areas,ToxPi_scores
ACE,0.031,5,1,3.92,7.15E+03,39,3.89E+03,5,1.18E+04,0.283087975
ACPY,0.035,5,0,3.94,1.64E+03,38,5.62E+03,36,3.33E+05,0.382698846
AHTN,0.229,3,0,5.7,1.25E+03,7.41,2.95E+03,5,3.00E+04,0.227142441
Alp17Bet21Hop,0,0,0,8.18,4.12E+00,427,7.76E+04,14,9.77E+06,0.278782751
Alp17Nor28Hop,0,0,0,8.99,3.98E+00,427,7.76E+04,36,3.21E+07,0.322995099
AlpCad,0,0,0,5.26,2.93E+09,95.5,6.03E+03,95,2.93E+07,0.458521586
BaANT,0.185,4,2,5.6,1.19E+01,286,2.00E+05,27,1.33E+06,0.39789844
BaP,0.284,4,4,6.13,2.12E+00,224,8.91E+05,36,1.08E+06,0.463321733
BbF,0,4,1,5.77,2.68E+00,57.5,1.10E+05,14,3.35E+05,0.267395653
BbFLT,0.209,4,2,5.78,2.37E+00,282,2.60E+05,41,2.43E+06,0.410641929
BcPHE,0,4,2,5.76,3.44E+00,295,1.62E+05,32,3.60E+05,0.365505896
BeP,0.092,4,1,6.44,4.76E+00,365,4.69E+05,45,2.32E+06,0.363517777
BghiP,0.07,4,1,6.63,2.60E-01,562,4.07E+04,59,3.30E+06,0.388507685
Biphenyl,0.032,2,0,4.01,7.09E+03,31,1.86E+03,91,1.16E+06,0.383761425
BkFLT,0.227,4,2,6.11,8.07E-01,351,2.19E+04,9,5.11E+05,0.360233685
BMPP,0,0,0,6.02,6.35E+09,4.79,2.51E+03,95,1.08E+06,0.372041334
BxEtoHA,0.02,5,0,1.2,3.80E+07,3.72,3.55E+02,100,7.32E+07,0.536456244
BzBP,0.113,6,1,4.82,2.04E+03,3.39,5.25E+03,9,1.04E+05,0.29557568
BzBz,0.023,5,0,3.97,1.54E+04,5.37,6.29E+02,23,1.37E+05,0.344859644
BzOH,0.009,6,0,1.1,4.24E+07,6.61,1.26E+01,18,6.49E+05,0.485491862
BZP,0.048,6,2,3.18,1.38E+05,5.25,4.27E+02,59,2.13E+06,0.486205582
BZT,0.032,6,0,2.01,4.28E+06,8.51,2.96E+02,41,5.06E+06,0.486662561
C10,0.02,5,0,5.01,5.10E+01,9,1.14E+04,91,7.25E+06,0.388278419
C11,0.008,5,0,6.54,4.28E+00,7,7.08E+02,95,3.14E+06,0.377597885
C12,0.024,5,0,6.1,3.68E+00,10,1.55E+03,59,3.12E+05,0.340442965
