Compound.names,Peak.area,Detection.frequency,Bioactivity.ratio,Exposure.category,IARC.catergory,logkow,Water.solubility,Biodeg.half_life,Koc,Config.level
TEP,0.416675971,0.916588299,0.028353119,0.666666667,0,0.925974924,0.907878224,0.086050679,0.830165022,Level 1 (LF region)
DEP,0.542503123,0.969165684,0.009009009,0.833333333,0,0.581451306,0.646249899,0.094095928,0.820010796,Level 1 (LF region)
DiBA,0.876489792,0.896975297,0.017992797,0.833333333,0,0.439931224,0.554029667,0.073822091,0.660330045,Level 1 (LF region)
TCEP,0.473695257,0.984950056,0.019627736,0.5,0,0.745041512,0.714356871,0.037728528,0.85934119,Level 1 (LF region)
NAP,0.596838612,1,0.01675485,1,0.333333333,0.489771441,0.525465273,0,0.629814516,Level 1 (LF region)
PYR,0.586888196,0.952571511,0.083452109,0.333333333,0,0.36934464,0.562376942,0.766360356,0.300364268,Level 1 (LF region)
DiBP,0.799049028,0.969165684,0.115865601,0.833333333,0,0.422204434,0.426467706,0.061913174,0.599263879,Level 1 (LF region)
TiBP,0.503927228,0.876096088,0.023127497,0.833333333,0,0.468161056,0.637453221,0.073822091,0.677310451,Level 1 (LF region)
o_Cresol,0.319587139,0.710836105,0.011982087,0.833333333,0,0.651714242,0.80812246,0.098151384,0.77017564,Level 1 (LF region)
BMPP,0.442040981,0.984950056,0,0,0,0.304719952,0.987748928,0.08206847,0.555141663,Level 1 (LF region)
TCIPP,0.575699104,0.969165684,0.033814468,0.166666667,0,0.564345707,0.636124054,0.037728528,0.731742567,Level 1 (LF region)
MNap2,0.362417866,0.74492186,0.931608204,0.833333333,0,0.441522037,0.511070148,0.270179677,0.521139112,Level 1 (LF region)
DnBP,0.822345695,0.896975297,0.090492419,0.5,0,0.386865032,0.450865809,0.065973324,0.599263879,Level 1 (LF region)
BxEtoHA,0.835464623,1,0.015191662,0.666666667,0,0.801164019,0.79764898,0.037728528,0.699407198,Level 2 (LF region)
DMS,0.54438696,0.775756176,0,0.5,0,1,0.964916288,0.162800999,1,Level 2 (LF region)
AlpCad,0.749821795,0.984950056,0,0,0,0.346262391,0.972783102,0.606941838,0.490495067,Level 2 (LF region)
TPPO,0.605457399,0.969165684,0.03240221,0.5,0,0.537066918,0.521080538,0.651325867,0.667384438,Level 2 (LF region)
BZT,0.585960896,0.710836105,0.027529808,0.833333333,0,0.642385602,0.724943401,0.182867506,0.712813401,Level 2 (LF region)
D3,0.504195569,0.984950056,0,0,0,0.367458087,0.545986556,0.748455754,0.689324765,Level 2 (LF region)
MBZT2,0.516694739,0.672731473,1,0.5,0,0.504091305,0.56767699,0.356485841,0.697763489,Level 2 (LF region)
DtBP,0.606689681,0.969165684,0.350428004,0.5,0,0.350386378,0.510114527,0.214638785,0.538155896,Level 2 (LF region)
BZP,0.505054094,0.829800754,0.043877594,0.833333333,0.333333333,0.501173543,0.571484853,0.098151384,0.685786514,Level 2 (LF region)
STG,0.799777036,0.520678036,0,0,0,0.208090735,1,0.780569797,0.285066541,Level 2 (LF region)
BzOH,0.394060039,0.448487648,0.004494416,0.833333333,0,0.827947998,0.828282072,0.138553602,0.945643766,Level 2 (LF region)
