Compound.names,Peak.area,Detection.frequency,Bioactivity.ratio,Exposure.category,IARC.catergory,logkow,Water.solubility,Biodeg.half_life,Koc,Config.level
o_Cresol,0.649951999,0.934870416,0.01761176,0.833333333,0,0.623504725,0.835335199,0.124594463,0.77017564,Level 1 (OC2 region)
TEP,0.243155728,0.897711717,0.035100072,0.666666667,0,0.91997924,0.935093483,0.112560495,0.830165022,Level 1 (OC2 region)
MNap2,0.840250517,0.540476309,1,0.833333333,0,0.396287934,0.538275385,0.29567398,0.521139112,Level 1 (OC2 region)
DEHP,1,1,0.095198204,1,0.333333333,0.173932659,0.270134989,0.108600249,0.2935373,Level 1 (OC2 region)
DiBP,0.843789859,0.856634682,0.128585056,0.833333333,0,0.375405696,0.453670806,0.088556114,0.599263879,Level 1 (OC2 region)
DnBP,0.952974211,0.897711717,0.10148022,0.5,0,0.337203968,0.478069525,0.092593872,0.599263879,Level 1 (OC2 region)
DEP,0.545278007,0.698555495,0.014435776,0.833333333,0,0.54755082,0.67345855,0.120561373,0.820010796,Level 1 (OC2 region)
TCIPP,0.553954069,1,0.040934145,0.166666667,0,0.529059748,0.663332449,0.064504852,0.731742567,Level 1 (OC2 region)
MNap1,0.751834283,0.810714463,0.007583459,0.666666667,0,0.395426993,0.542957453,0.221871968,0.561907589,Level 1 (OC2 region)
TCEP,0.339591238,0.810714463,0.025779204,0.5,0,0.724391067,0.741567242,0.064504852,0.85934119,Level 1 (OC2 region)
BzOH,0.842101407,0.856634682,0.009613074,0.833333333,0,0.81401259,0.855495321,0.164773853,0.945643766,Level 2 (OC2 region)
DMS,0.636162079,0.540476309,0,0.5,0,1,0.992132987,0.18888752,1,Level 2 (OC2 region)
Px2EtoH,0.480270944,0.698555495,0.010463201,1,0,0.796340101,0.827013301,0.132708639,0.821736217,Level 2 (OC2 region)
TPPO,0.6179919,0.856634682,0.039425504,0.5,0,0.499571504,0.548286028,0.674718062,0.667384438,Level 2 (OC2 region)
DtBP,0.994166454,0.856634682,0.379155742,0.5,0,0.297770714,0.53731974,0.240439408,0.538155896,Level 2 (OC2 region)
AdamOH,0.749001544,0.428317341,0,0.5,0,0.592566468,0.746611528,0.919681999,0.563535876,Level 2 (OC2 region)
BZT,0.491225223,0.627473563,0.034220572,0.833333333,0,0.613420509,0.75215404,0.208843356,0.712813401,Level 2 (OC2 region)
Ind7M1one,0.837924919,0.698555495,0,0.5,0,0.534238898,0.696841479,0.044136482,0.629814516,Level 2 (OC2 region)
